_id,_depart,_departLane,_departPos,_departSpeed,_departDelay,_arrival,_arrivalLane,_arrivalPos,_arrivalSpeed,_duration,_routeLength,_waitingTime,_waitingCount,_stopTime,_timeLoss,_rerouteNo,_devices,_vType,_speedFactor,_vaporized
veh13,33.00,4937070#0_1,1.49,0.00,0.32,100.00,326772508#2_0,82.72,14.24,67.00,778.28,0.00,0,0.00,10.38,1,vehroute_veh13 tripinfo_veh13 routing_veh13 fcd_veh13,veh_passenger,1.05,
veh3,8.00,55668397_0,5.10,0.00,0.46,107.00,-192108787#0_0,18.48,8.76,99.00,1111.72,0.00,0,0.00,14.11,1,vehroute_veh3 tripinfo_veh3 routing_veh3 fcd_veh3,veh_passenger,1.08,
veh21,53.00,-150800557#1_0,0.41,0.00,0.22,144.00,-40260272#2_0,1.81,3.30,91.00,750.31,12.00,2,0.00,39.42,1,vehroute_veh21 tripinfo_veh21 routing_veh21 fcd_veh21,veh_passenger,1.16,
veh12,31.00,-20485040#11_0,5.10,0.00,0.84,149.00,-22566798#1_0,139.56,13.50,118.00,1211.42,10.00,1,0.00,29.65,1,vehroute_veh12 tripinfo_veh12 routing_veh12 fcd_veh12,veh_passenger,1.03,
veh34,86.00,627577866#1_0,5.10,0.00,0.54,153.00,13904645#2_0,34.12,8.42,67.00,686.71,3.00,1,0.00,14.82,1,vehroute_veh34 tripinfo_veh34 routing_veh34 fcd_veh34,veh_passenger,1.15,
veh2,6.00,3936652#2_0,5.10,0.00,0.97,163.00,37747503#1_1,74.05,13.23,157.00,1196.44,34.00,4,0.00,65.56,1,vehroute_veh2 tripinfo_veh2 routing_veh2 fcd_veh2,veh_passenger,1.01,
veh1,3.00,-4539929#1_0,5.10,0.00,0.49,183.00,-3936650_0,143.67,7.29,180.00,1538.29,22.00,3,0.00,49.80,1,vehroute_veh1 tripinfo_veh1 routing_veh1 fcd_veh1,veh_passenger,0.94,
veh8,21.00,44069390#0_0,5.10,0.00,0.89,191.00,-112410779#1_0,54.37,7.12,170.00,1241.97,4.00,1,0.00,22.54,1,vehroute_veh8 tripinfo_veh8 routing_veh8 fcd_veh8,veh_passenger,0.94,
veh36,91.00,293281653#1_2,5.10,0.00,0.51,191.00,-4395775#4_0,18.19,9.73,100.00,1048.10,5.00,2,0.00,32.14,1,vehroute_veh36 tripinfo_veh36 routing_veh36 fcd_veh36,veh_passenger,1.17,
veh20,51.00,-3957136#0_0,5.10,0.00,0.73,198.00,-4541289#6_0,53.31,11.85,147.00,1168.42,0.00,0,0.00,17.85,1,vehroute_veh20 tripinfo_veh20 routing_veh20 fcd_veh20,veh_passenger,0.94,
veh52,131.00,140673637#2_0,5.10,0.00,0.30,205.00,-37692199#0_1,55.25,11.19,74.00,564.82,11.00,1,0.00,23.65,1,vehroute_veh52 tripinfo_veh52 routing_veh52 fcd_veh52,veh_passenger,0.85,
veh23,58.00,3708865#4_0,5.10,0.00,0.19,211.00,-7990020#1_0,19.71,7.12,153.00,1187.06,20.00,4,0.00,50.43,1,vehroute_veh23 tripinfo_veh23 routing_veh23 fcd_veh23,veh_passenger,1.01,
veh31,78.00,-528915436#0_0,5.10,0.00,0.08,213.00,-4395933#8_0,20.51,8.75,135.00,1132.30,12.00,3,0.00,51.42,1,vehroute_veh31 tripinfo_veh31 routing_veh31 fcd_veh31,veh_passenger,1.13,
